j EnclosedMass[g] radius[cm] velocity[cm/s] density[g/cc] X_H X_He
253 1.952e+32 1.033e+15 1.000e+07 1.421e-14 7.000e-01 2.800e-01
254 1.971e+32 1.042e+15 1.000e+07 1.388e-14 7.000e-01 2.800e-01
255 1.989e+32 1.052e+15 1.000e+07 1.355e-14 7.000e-01 2.800e-01
256 2.007e+32 1.062e+15 1.000e+07 1.324e-14 7.000e-01 2.800e-01
257 2.025e+32 1.072e+15 1.000e+07 1.293e-14 7.000e-01 2.800e-01
258 2.044e+32 1.082e+15 1.000e+07 1.262e-14 7.000e-01 2.800e-01
259 2.062e+32 1.092e+15 1.000e+07 1.233e-14 7.000e-01 2.800e-01
260 2.081e+32 1.102e+15 1.000e+07 1.203e-14 7.000e-01 2.800e-01
261 2.100e+32 1.112e+15 1.000e+07 1.175e-14 7.000e-01 2.800e-01
262 2.118e+32 1.122e+15 1.000e+07 1.147e-14 7.000e-01 2.800e-01
263 2.137e+32 1.133e+15 1.000e+07 1.119e-14 7.000e-01 2.800e-01
264 2.156e+32 1.143e+15 1.000e+07 1.092e-14 7.000e-01 2.800e-01
265 2.175e+32 1.154e+15 1.000e+07 1.066e-14 7.000e-01 2.800e-01
266 2.194e+32 1.164e+15 1.000e+07 1.040e-14 7.000e-01 2.800e-01
267 2.213e+32 1.175e+15 1.000e+07 1.015e-14 7.000e-01 2.800e-01
268 2.232e+32 1.186e+15 1.000e+07 9.901e-15 7.000e-01 2.800e-01
269 2.251e+32 1.197e+15 1.000e+07 9.658e-15 7.000e-01 2.800e-01
270 2.270e+32 1.208e+15 1.000e+07 9.420e-15 7.000e-01 2.800e-01
271 2.289e+32 1.219e+15 1.000e+07 9.187e-15 7.000e-01 2.800e-01
272 2.309e+32 1.231e+15 1.000e+07 8.959e-15 7.000e-01 2.800e-01
273 2.328e+32 1.242e+15 1.000e+07 8.736e-15 7.000e-01 2.800e-01
274 2.347e+32 1.254e+15 1.000e+07 8.517e-15 7.000e-01 2.800e-01
275 2.367e+32 1.265e+15 1.000e+07 8.303e-15 7.000e-01 2.800e-01
276 2.386e+32 1.277e+15 1.000e+07 8.093e-15 7.000e-01 2.800e-01
277 2.406e+32 1.289e+15 1.000e+07 7.888e-15 7.000e-01 2.800e-01
278 2.425e+32 1.301e+15 1.000e+07 7.687e-15 7.000e-01 2.800e-01
279 2.445e+32 1.313e+15 1.000e+07 7.490e-15 7.000e-01 2.800e-01
280 2.464e+32 1.325e+15 1.000e+07 7.298e-15 7.000e-01 2.800e-01
281 2.484e+32 1.337e+15 1.000e+07 7.110e-15 7.000e-01 2.800e-01
282 2.504e+32 1.350e+15 1.000e+07 6.926e-15 7.000e-01 2.800e-01
283 2.523e+32 1.362e+15 1.000e+07 6.746e-15 7.000e-01 2.800e-01
284 2.543e+32 1.375e+15 1.000e+07 6.569e-15 7.000e-01 2.800e-01
285 2.563e+32 1.388e+15 1.000e+07 6.397e-15 7.000e-01 2.800e-01
286 2.583e+32 1.401e+15 1.000e+07 6.228e-15 7.000e-01 2.800e-01
287 2.602e+32 1.414e+15 1.000e+07 6.063e-15 7.000e-01 2.800e-01
288 2.622e+32 1.427e+15 1.000e+07 5.902e-15 7.000e-01 2.800e-01
289 2.642e+32 1.440e+15 1.000e+07 5.745e-15 7.000e-01 2.800e-01
